abruptly 不意に、唐突に
stakeholder 出資者
stash 〔秘密の場所に金・貴重品などを〕隠す、しまう
subsequent 時間や順序が
subsequent 次の、後の
substitute 代理になる
substitution 代入、置き換え
succinct 簡潔な、感銘な
supersede 取って代わる、〜に抽選する
suspend 一時停止
synopsis 大要
tendency 傾向
tendency 動き、流れ
terribly ひどく、恐ろしく、ものすごく
test double テスト代役
testicular　cancer　睾丸癌
trailer 予告編
transcription 転写
transtitive 推移的な、過渡的な
urgent 緊急の、差し迫った
vacant 空の、入ってない
vague 曖昧な、不明瞭な
vaguely 漠然と
verify 検証
versatile 用途の広い、多目的な、多用途の
vibrant 活気のあおる、力強い
vibrant 活気のある、力強い
vogue 流業、んんき
well-regarded 評判の、高評価の
whereas 〜である一方、〜であるのに対して
wired 神経過敏な、興奮した
workaround 回避方法、次善策
